,test_sample,category,LMA_matched,LMA_unmatched,LAD_matched,LAD_unmatched,LCX_matched,LCX_unmatched,D_matched,D_unmatched,OM_matched,OM_unmatched,LMA_total,LAD_total,LCX_total,D_total,OM_total
0,101_LCA_RAO,RAO,1,0,3,0,3,0,2,0,2,0,1,3,3,2,2
1,113_LCA_LAO,LAO,1,0,0,2,0,3,0,1,0,2,1,2,3,1,2
2,131_1_LCA_RAO,RAO,1,0,1,0,3,0,0,0,2,0,1,1,3,0,2
3,134_LCA_LAO,LAO,1,0,3,0,3,0,2,0,1,1,1,3,3,2,2
4,141_LCA_RAO,RAO,1,0,1,0,1,1,0,0,0,1,1,1,2,0,1
5,151_LCA_LAO,LAO,1,0,2,1,3,0,2,0,1,1,1,3,3,2,2
6,152_LCA_LAO,LAO,1,0,2,0,2,0,0,1,1,0,1,2,2,1,1
7,155_LCA_RAO,RAO,1,0,3,0,3,0,2,0,2,0,1,3,3,2,2
8,159_1_LCA_RAO,RAO,1,0,2,0,3,0,1,0,2,0,1,2,3,1,2
9,161_1_LCA_RAO,RAO,1,0,0,3,0,2,0,2,0,1,1,3,2,2,1
10,162_LCA_RAO,RAO,1,0,2,0,3,0,1,0,1,1,1,2,3,1,2
11,164_LCA_LAO,LAO,1,0,2,0,2,0,1,0,1,0,1,2,2,1,1
12,171_1_LCA_RAO,RAO,1,0,2,0,3,0,1,0,1,1,1,2,3,1,2
13,177_LCA_RAO,RAO,1,0,2,0,3,0,1,0,1,1,1,2,3,1,2
14,179_1_LCA_RAO,RAO,1,0,0,3,0,2,0,2,0,1,1,3,2,2,1
15,181_LCA_RAO,RAO,1,0,1,0,3,0,0,0,2,0,1,1,3,0,2
16,188_LCA_LAO,LAO,1,0,3,0,3,0,2,0,1,1,1,3,3,2,2
17,1_LCA_LAO,LAO,1,0,3,0,2,0,2,0,0,1,1,3,2,2,1
18,1_LCA_RAO,RAO,1,0,2,0,1,1,1,0,0,1,1,2,2,1,1
19,204_LCA_RAO,RAO,1,0,2,0,3,0,1,0,1,1,1,2,3,1,2
20,25_LCA_RAO,RAO,1,0,2,0,2,1,1,0,1,1,1,2,3,1,2
21,26_LCA_LAO,LAO,1,0,3,0,2,0,2,0,1,0,1,3,2,2,1
22,38_LCA_RAO,RAO,1,0,2,1,3,0,0,2,0,2,1,3,3,2,2
23,39_LCA_RAO,RAO,1,0,2,0,3,0,1,0,2,0,1,2,3,1,2
24,54_LCA_RAO,RAO,1,0,1,1,3,0,0,1,2,0,1,2,3,1,2
25,70_LCA_RAO,RAO,1,0,3,0,3,0,1,1,1,1,1,3,3,2,2
26,75_LCA_LAO,LAO,1,0,1,1,1,2,1,1,0,2,1,2,3,2,2
27,78_LCA_RAO,RAO,1,0,1,0,3,0,0,0,2,0,1,1,3,0,2
28,81_LCA_RAO,RAO,1,0,2,0,3,0,1,0,2,0,1,2,3,1,2
29,82_LCA_RAO,RAO,1,0,3,0,2,1,2,0,1,1,1,3,3,2,2
30,85_LCA_LAO,LAO,1,0,0,2,0,2,0,1,0,1,1,2,2,1,1
31,86_LCA_RAO,RAO,1,0,2,1,3,0,1,1,2,0,1,3,3,2,2
32,87_LCA_RAO,RAO,1,0,2,0,3,0,1,0,1,1,1,2,3,1,2
33,90_LCA_RAO,RAO,1,0,2,1,3,0,1,1,2,0,1,3,3,2,2
34,95_LCA_LAO,LAO,1,0,0,3,0,3,0,2,0,2,1,3,3,2,2
35,99_LCA_RAO,RAO,1,0,3,0,3,0,2,0,2,0,1,3,3,2,2
36,B01_LCA_LAO,LAO,1,0,1,1,2,1,0,1,1,1,1,2,3,1,2
37,B13_LCA_LAO,LAO,1,0,2,0,2,0,1,0,1,0,1,2,2,1,1
38,B24_LCA_LAO,LAO,1,0,2,0,2,0,0,1,0,1,1,2,2,1,1
39,B30_LCA_RAO,RAO,1,0,2,0,3,0,1,0,2,0,1,2,3,1,2
40,B35_LCA_LAO,LAO,1,0,1,1,1,1,1,0,0,1,1,2,2,1,1
41,B47_LCA_LAO,LAO,1,0,1,1,2,1,0,1,1,1,1,2,3,1,2
42,B56_LCA_RAO,RAO,1,0,1,0,2,1,0,0,1,1,1,1,3,0,2
43,B59_LCA_RAO,RAO,1,0,0,3,0,2,0,2,0,1,1,3,2,2,1
44,B61_LCA_LAO,LAO,1,0,1,1,2,0,0,1,1,0,1,2,2,1,1
