,test_sample,template_sample,category,n,matched,unmatched,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,OM3
0,101_LCA_RAO,,RAO,11,11,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,
1,113_LCA_LAO,,LAO,9,1,,LMA,LAD2,LAD3,,LAD1,LCX1,LCX2,D2,,D1,OM1,
2,131_1_LCA_RAO,,RAO,7,7,,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
3,134_LCA_LAO,,LAO,11,10,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,LCX3,
4,141_LCA_RAO,,RAO,5,3,,LMA,LAD1,,,LCX1,OM1,,,,LCX2,,
5,151_LCA_LAO,,LAO,11,9,,LMA,LAD1,LAD2,D2,LCX1,LCX2,LCX3,D1,D2,D1,OM2,
6,152_LCA_LAO,,LAO,7,6,,LMA,LAD1,LAD2,,LCX1,LCX2,,D2,,OM1,,
7,155_LCA_RAO,,RAO,11,11,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,
8,159_1_LCA_RAO,,RAO,9,9,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,OM2,
9,161_1_LCA_RAO,,RAO,9,1,,LMA,LCX1,LAD1,D1,LCX2,LCX3,,OM1,D1,OM2,,
10,162_LCA_RAO,,RAO,9,8,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,LCX3,
11,164_LCA_LAO,,LAO,7,7,,LMA,LAD1,LAD2,,LCX1,LCX2,,D1,,OM1,,
12,171_1_LCA_RAO,,RAO,9,8,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,LCX3,
13,177_LCA_RAO,,RAO,9,8,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,LCX3,
14,179_1_LCA_RAO,,RAO,9,1,,LMA,LCX1,LAD1,LAD2,LCX2,LCX3,,OM1,D1,OM2,,
15,181_LCA_RAO,,RAO,7,7,,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
16,188_LCA_LAO,,LAO,11,10,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,LCX3,
17,1_LCA_LAO,,LAO,9,8,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,,D1,D2,LCX2,,
18,1_LCA_RAO,,RAO,7,5,,LMA,LAD1,LAD2,,LCX1,OM1,,D1,,LCX2,,
19,204_LCA_RAO,,RAO,9,8,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,LCX3,
20,25_LCA_RAO,,RAO,9,7,,LMA,LAD1,LAD2,,LCX1,LCX2,OM2,D1,,OM1,LCX3,
21,26_LCA_LAO,,LAO,9,9,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,,D1,D2,OM1,,
22,38_LCA_RAO,,RAO,11,6,,LMA,LAD1,LAD2,D2,LCX1,LCX2,LCX3,OM1,LAD3,D1,D2,
23,39_LCA_RAO,,RAO,9,9,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,OM2,
24,54_LCA_RAO,,RAO,9,7,,LMA,LAD1,D1,,LCX1,LCX2,LCX3,LAD2,,OM1,OM2,
25,70_LCA_RAO,,RAO,11,9,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,OM1,D2,D1,OM2,
26,75_LCA_LAO,,LAO,10,4,,LMA,LAD1,LCX1,,LAD2,LCX2,D2,D1,OM1,D2,LAD3,
27,78_LCA_RAO,,RAO,7,7,,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
28,81_LCA_RAO,,RAO,9,9,,LMA,LAD1,LAD2,,LCX1,LCX2,LCX3,D1,,OM1,OM2,
29,82_LCA_RAO,,RAO,11,9,,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,OM2,D1,D2,OM1,LCX3,
30,85_LCA_LAO,,LAO,7,1,,LMA,LCX1,OM1,,LAD1,LAD2,,LCX2,,D1,,
31,86_LCA_RAO,,RAO,11,9,,LMA,LAD1,LAD2,D2,LCX1,LCX2,LCX3,D1,LAD3,OM1,OM2,
