,test_sample,template_sample,category,n,matched,unmatched,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,OM3
0,101_LCA_RAO,32_LCA_RAO,RAO,11,1,10,LMA,LCX1,LCX2,LCX3,LAD1,LAD2,LAD3,OM1,OM2,D1,D2,
1,101_LCA_RAO,120_LCA_RAO,RAO,11,9,2,LMA,LAD1,LAD2,D2,LCX1,LCX2,LCX3,D1,LAD3,OM1,OM2,
2,101_LCA_RAO,43_LCA_RAO,RAO,11,1,10,LMA,LCX1,LCX2,OM2,LAD1,LAD2,LAD3,OM1,LCX3,D1,D2,
3,101_LCA_RAO,34_LCA_RAO,RAO,11,11,0,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,
4,101_LCA_RAO,B40_LCA_RAO,RAO,11,11,0,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,
5,101_LCA_RAO,67_LCA_RAO,RAO,11,9,2,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,OM2,D1,D2,OM1,LCX3,
6,101_LCA_RAO,51_LCA_RAO,RAO,11,11,0,LMA,LAD1,LAD2,LAD3,LCX1,LCX2,LCX3,D1,D2,OM1,OM2,
7,113_LCA_LAO,25_LCA_LAO,LAO,9,1,8,LMA,LAD2,LAD3,,LAD1,LCX1,LCX2,D2,,D1,OM1,
8,113_LCA_LAO,32_LCA_LAO,LAO,9,1,8,LMA,LAD2,LAD3,,LAD1,LCX1,LCX2,D2,,D1,OM1,
9,113_LCA_LAO,139_LCA_LAO,LAO,9,3,6,LMA,LAD1,LAD3,,LCX1,LAD2,OM1,D2,,D1,LCX2,
10,113_LCA_LAO,91_LCA_LAO,LAO,9,1,8,LMA,LAD2,LAD3,,LAD1,LCX1,LCX2,D2,,D1,OM1,
11,113_LCA_LAO,B40_LCA_LAO,LAO,9,2,7,LMA,LAD1,LCX3,,D1,LCX1,LCX2,OM2,,LAD2,OM1,
12,131_1_LCA_RAO,108_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,OM2,,,OM1,LCX3,
13,131_1_LCA_RAO,109_1_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,D1,,,OM1,LAD2,
14,131_1_LCA_RAO,32_LCA_RAO,RAO,7,2,5,LMA,LCX1,,,LAD1,LAD2,LCX2,,,OM1,D1,
15,131_1_LCA_RAO,120_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
16,131_1_LCA_RAO,63_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
17,131_1_LCA_RAO,48_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,OM2,,,OM1,LCX3,
18,131_1_LCA_RAO,B43_LCA_RAO,RAO,7,1,6,LMA,D1,,,LAD1,LCX1,OM1,,,LAD2,LCX2,
19,131_1_LCA_RAO,43_LCA_RAO,RAO,7,4,3,LMA,LAD1,,,LCX1,LAD2,LCX2,,,OM1,D1,
20,131_1_LCA_RAO,201_1_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
21,131_1_LCA_RAO,185_1_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
22,131_1_LCA_RAO,30_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
23,131_1_LCA_RAO,34_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
24,131_1_LCA_RAO,B40_LCA_RAO,RAO,7,4,3,LMA,LAD1,,,LCX1,LCX2,LAD2,,,D1,OM1,
25,131_1_LCA_RAO,104_LCA_RAO,RAO,7,1,6,LMA,LAD2,,,LAD1,LCX1,LCX2,,,D1,OM1,
26,131_1_LCA_RAO,B24_LCA_RAO,RAO,7,1,6,LMA,LAD2,,,LAD1,LCX1,OM1,,,D1,LCX2,
27,131_1_LCA_RAO,67_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,OM2,,,OM1,LCX3,
28,131_1_LCA_RAO,23_LCA_RAO1,RAO,7,1,6,LMA,LAD2,,,LAD1,LCX1,LCX2,,,D1,OM1,
29,131_1_LCA_RAO,173_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
30,131_1_LCA_RAO,51_LCA_RAO,RAO,7,6,1,LMA,LAD1,,,LCX1,LCX2,LAD2,,,OM1,OM2,
31,131_1_LCA_RAO,B06_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,OM2,,,OM1,LCX3,
32,131_1_LCA_RAO,207_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
33,131_1_LCA_RAO,68_LCA_RAO,RAO,7,5,2,LMA,LAD1,,,LCX1,LCX2,OM2,,,OM1,LCX3,
34,131_1_LCA_RAO,84_LCA_RAO,RAO,7,7,0,LMA,LAD1,,,LCX1,LCX2,LCX3,,,OM1,OM2,
